"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"14.10.2022 12:00 - 14.10.2022 13:00","36311","35316"
"14.10.2022 13:00 - 14.10.2022 14:00","36089","35085"
"14.10.2022 14:00 - 14.10.2022 15:00","36267","35964"
"14.10.2022 15:00 - 14.10.2022 16:00","36148","36237"
"14.10.2022 16:00 - 14.10.2022 17:00","36555","35860"
"14.10.2022 17:00 - 14.10.2022 18:00","36240","35070"
"14.10.2022 18:00 - 14.10.2022 19:00","35966","35945"
"14.10.2022 19:00 - 14.10.2022 20:00","37869","37789"
"14.10.2022 20:00 - 14.10.2022 21:00","35662","35795"
"14.10.2022 21:00 - 14.10.2022 22:00","33023","32963"
"14.10.2022 22:00 - 14.10.2022 23:00","30327","30173"
"14.10.2022 23:00 - 15.10.2022 00:00","27974","27859"
"15.10.2022 00:00 - 15.10.2022 01:00","25773","25801"
"15.10.2022 01:00 - 15.10.2022 02:00","24374","24194"
"15.10.2022 02:00 - 15.10.2022 03:00","23491","23342"
"15.10.2022 03:00 - 15.10.2022 04:00","23057","23038"
"15.10.2022 04:00 - 15.10.2022 05:00","22600","22929"
"15.10.2022 05:00 - 15.10.2022 06:00","23241","23402"
"15.10.2022 06:00 - 15.10.2022 07:00","24892","25284"
"15.10.2022 07:00 - 15.10.2022 08:00","27189","27446"
"15.10.2022 08:00 - 15.10.2022 09:00","29116","29404"
"15.10.2022 09:00 - 15.10.2022 10:00","30196","30631"
"15.10.2022 10:00 - 15.10.2022 11:00","30330","30451"
"15.10.2022 11:00 - 15.10.2022 12:00","29048","29182"
"15.10.2022 12:00 - 15.10.2022 13:00","27465","28034"
"15.10.2022 13:00 - 15.10.2022 14:00","26293","26777"
"15.10.2022 14:00 - 15.10.2022 15:00","25737","26298"
"15.10.2022 15:00 - 15.10.2022 16:00","25936","26628"
"15.10.2022 16:00 - 15.10.2022 17:00","26360","27120"
"15.10.2022 17:00 - 15.10.2022 18:00","27120","27680"
"15.10.2022 18:00 - 15.10.2022 19:00","29581","29830"
"15.10.2022 19:00 - 15.10.2022 20:00","32193","32390"
"15.10.2022 20:00 - 15.10.2022 21:00","30538","30526"
"15.10.2022 21:00 - 15.10.2022 22:00","28480","28275"
"15.10.2022 22:00 - 15.10.2022 23:00","26215","26164"
"15.10.2022 23:00 - 16.10.2022 00:00","24368","24409"
"16.10.2022 00:00 - 16.10.2022 01:00","22964","23018"
"16.10.2022 01:00 - 16.10.2022 02:00","21625","21480"
"16.10.2022 02:00 - 16.10.2022 03:00","20774","20784"
"16.10.2022 03:00 - 16.10.2022 04:00","20196","20333"
"16.10.2022 04:00 - 16.10.2022 05:00","20504","20175"
"16.10.2022 05:00 - 16.10.2022 06:00","20738","20465"
"16.10.2022 06:00 - 16.10.2022 07:00","21497","21345"
"16.10.2022 07:00 - 16.10.2022 08:00","22365","22260"
"16.10.2022 08:00 - 16.10.2022 09:00","23112","23504"
"16.10.2022 09:00 - 16.10.2022 10:00","24815","25008"
"16.10.2022 10:00 - 16.10.2022 11:00","25665","25550"
"16.10.2022 11:00 - 16.10.2022 12:00","26037","25519"
"16.10.2022 12:00 - 16.10.2022 13:00","25553","25209"
"16.10.2022 13:00 - 16.10.2022 14:00","24814","24056"
"16.10.2022 14:00 - 16.10.2022 15:00","23847","23729"
"16.10.2022 15:00 - 16.10.2022 16:00","23836","23677"
"16.10.2022 16:00 - 16.10.2022 17:00","24204","24004"
"16.10.2022 17:00 - 16.10.2022 18:00","24866","24763"
"16.10.2022 18:00 - 16.10.2022 19:00","26284","27242"
"16.10.2022 19:00 - 16.10.2022 20:00","29274","29914"
"16.10.2022 20:00 - 16.10.2022 21:00","28859","28911"
"16.10.2022 21:00 - 16.10.2022 22:00","27282","27274"
"16.10.2022 22:00 - 16.10.2022 23:00","25361","25350"
"16.10.2022 23:00 - 17.10.2022 00:00","23422","23471"
"17.10.2022 00:00 - 17.10.2022 01:00","21068","21825"
"17.10.2022 01:00 - 17.10.2022 02:00","20209","20704"
"17.10.2022 02:00 - 17.10.2022 03:00","19778","20219"
"17.10.2022 03:00 - 17.10.2022 04:00","19700","20093"
"17.10.2022 04:00 - 17.10.2022 05:00","19986","20483"
"17.10.2022 05:00 - 17.10.2022 06:00","22325","22580"
"17.10.2022 06:00 - 17.10.2022 07:00","27253","27751"
"17.10.2022 07:00 - 17.10.2022 08:00","32720","32808"
"17.10.2022 08:00 - 17.10.2022 09:00","36604","35905"
"17.10.2022 09:00 - 17.10.2022 10:00","38101","36761"
"17.10.2022 10:00 - 17.10.2022 11:00","37636","35835"
"17.10.2022 11:00 - 17.10.2022 12:00","36502","35394"
"17.10.2022 12:00 - 17.10.2022 13:00","34724","33524"
"17.10.2022 13:00 - 17.10.2022 14:00","34432","33535"
"17.10.2022 14:00 - 17.10.2022 15:00","35799","34520"
"17.10.2022 15:00 - 17.10.2022 16:00","36021","35119"
"17.10.2022 16:00 - 17.10.2022 17:00","35719","35670"
"17.10.2022 17:00 - 17.10.2022 18:00","34850","35390"
"17.10.2022 18:00 - 17.10.2022 19:00","35731","36575"
"17.10.2022 19:00 - 17.10.2022 20:00","37946","37945"
"17.10.2022 20:00 - 17.10.2022 21:00","36419","36084"
"17.10.2022 21:00 - 17.10.2022 22:00","33850","33258"
"17.10.2022 22:00 - 17.10.2022 23:00","30557","30231"
"17.10.2022 23:00 - 18.10.2022 00:00","27793","27776"
"18.10.2022 00:00 - 18.10.2022 01:00","25839","25657"
"18.10.2022 01:00 - 18.10.2022 02:00","24489","24337"
"18.10.2022 02:00 - 18.10.2022 03:00","23786","23602"
"18.10.2022 03:00 - 18.10.2022 04:00","23579","23373"
"18.10.2022 04:00 - 18.10.2022 05:00","23871","23579"
"18.10.2022 05:00 - 18.10.2022 06:00","25249","25106"
"18.10.2022 06:00 - 18.10.2022 07:00","29345","29605"
"18.10.2022 07:00 - 18.10.2022 08:00","34309","34196"
"18.10.2022 08:00 - 18.10.2022 09:00","37182","37128"
"18.10.2022 09:00 - 18.10.2022 10:00","38251","37779"
"18.10.2022 10:00 - 18.10.2022 11:00","37401","37179"
"18.10.2022 11:00 - 18.10.2022 12:00","36819","36573"
"18.10.2022 12:00 - 18.10.2022 13:00","35155","34438"
"18.10.2022 13:00 - 18.10.2022 14:00","34688","34200"
"18.10.2022 14:00 - 18.10.2022 15:00","35957","35238"
"18.10.2022 15:00 - 18.10.2022 16:00","36705","35761"
"18.10.2022 16:00 - 18.10.2022 17:00","37063","36327"
"18.10.2022 17:00 - 18.10.2022 18:00","37058","35909"
"18.10.2022 18:00 - 18.10.2022 19:00","37500","37033"
"18.10.2022 19:00 - 18.10.2022 20:00","38953","38629"
"18.10.2022 20:00 - 18.10.2022 21:00","37349","36429"
"18.10.2022 21:00 - 18.10.2022 22:00","34710","33794"
"18.10.2022 22:00 - 18.10.2022 23:00","31524","30669"
"18.10.2022 23:00 - 19.10.2022 00:00","28701","28154"
"19.10.2022 00:00 - 19.10.2022 01:00","25728","26138"
"19.10.2022 01:00 - 19.10.2022 02:00","24534","24731"
"19.10.2022 02:00 - 19.10.2022 03:00","23891","24068"
"19.10.2022 03:00 - 19.10.2022 04:00","23694","23840"
"19.10.2022 04:00 - 19.10.2022 05:00","23815","24072"
"19.10.2022 05:00 - 19.10.2022 06:00","25169","25495"
"19.10.2022 06:00 - 19.10.2022 07:00","29581","30127"
"19.10.2022 07:00 - 19.10.2022 08:00","34283","34767"
"19.10.2022 08:00 - 19.10.2022 09:00","37167","37531"
"19.10.2022 09:00 - 19.10.2022 10:00","37779","38067"
"19.10.2022 10:00 - 19.10.2022 11:00","37102","37166"
"19.10.2022 11:00 - 19.10.2022 12:00","36580","36540"
"19.10.2022 12:00 - 19.10.2022 13:00","34642","34718"
"19.10.2022 13:00 - 19.10.2022 14:00","34278","34546"
"19.10.2022 14:00 - 19.10.2022 15:00","35381","35509"
"19.10.2022 15:00 - 19.10.2022 16:00","36170","36094"
"19.10.2022 16:00 - 19.10.2022 17:00","36471","36548"
"19.10.2022 17:00 - 19.10.2022 18:00","36378","35897"
"19.10.2022 18:00 - 19.10.2022 19:00","37031","37292"
"19.10.2022 19:00 - 19.10.2022 20:00","38222","38895"
"19.10.2022 20:00 - 19.10.2022 21:00","36355","36789"
"19.10.2022 21:00 - 19.10.2022 22:00","33715","33929"
"19.10.2022 22:00 - 19.10.2022 23:00","30574","30737"
"19.10.2022 23:00 - 20.10.2022 00:00","27761","28335"
"20.10.2022 00:00 - 20.10.2022 01:00","26205","26202"
"20.10.2022 01:00 - 20.10.2022 02:00","24928","24896"
"20.10.2022 02:00 - 20.10.2022 03:00","24341","24363"
"20.10.2022 03:00 - 20.10.2022 04:00","23947","23921"
"20.10.2022 04:00 - 20.10.2022 05:00","24178","24211"
"20.10.2022 05:00 - 20.10.2022 06:00","25650","25531"
"20.10.2022 06:00 - 20.10.2022 07:00","30070","29895"
"20.10.2022 07:00 - 20.10.2022 08:00","34692","34831"
"20.10.2022 08:00 - 20.10.2022 09:00","37300","37512"
"20.10.2022 09:00 - 20.10.2022 10:00","37589","38204"
"20.10.2022 10:00 - 20.10.2022 11:00","37037","37892"
"20.10.2022 11:00 - 20.10.2022 12:00","36640","36921"
"20.10.2022 12:00 - 20.10.2022 13:00","35065","34805"
"20.10.2022 13:00 - 20.10.2022 14:00","34437","34794"
"20.10.2022 14:00 - 20.10.2022 15:00","35871","35778"
"20.10.2022 15:00 - 20.10.2022 16:00","36254","36503"
"20.10.2022 16:00 - 20.10.2022 17:00","36349","36957"
"20.10.2022 17:00 - 20.10.2022 18:00","36285","36202"
"20.10.2022 18:00 - 20.10.2022 19:00","37025","37402"
"20.10.2022 19:00 - 20.10.2022 20:00","38711","38747"
"20.10.2022 20:00 - 20.10.2022 21:00","36505","36343"
"20.10.2022 21:00 - 20.10.2022 22:00","34361","33983"
"20.10.2022 22:00 - 20.10.2022 23:00","31125","30938"
"20.10.2022 23:00 - 21.10.2022 00:00","28740","28265"
"21.10.2022 00:00 - 21.10.2022 01:00","26188","26294"
"21.10.2022 01:00 - 21.10.2022 02:00","24962","25045"
"21.10.2022 02:00 - 21.10.2022 03:00","24264","24308"
"21.10.2022 03:00 - 21.10.2022 04:00","23957","24107"
"21.10.2022 04:00 - 21.10.2022 05:00","24089","24236"
"21.10.2022 05:00 - 21.10.2022 06:00","25162","25556"
"21.10.2022 06:00 - 21.10.2022 07:00","29305","30007"
"21.10.2022 07:00 - 21.10.2022 08:00","34203","34640"
"21.10.2022 08:00 - 21.10.2022 09:00","37350","37770"
"21.10.2022 09:00 - 21.10.2022 10:00","38453","38753"
"21.10.2022 10:00 - 21.10.2022 11:00","37586","38847"
"21.10.2022 11:00 - 21.10.2022 12:00","36855","38669"
"21.10.2022 12:00 - 21.10.2022 13:00","35588","36702"
"21.10.2022 13:00 - 21.10.2022 14:00","34695","36712"
"21.10.2022 14:00 - 21.10.2022 15:00","35470","37016"
"21.10.2022 15:00 - 21.10.2022 16:00","35896","37056"
"21.10.2022 16:00 - 21.10.2022 17:00","36581","36875"
"21.10.2022 17:00 - 21.10.2022 18:00","36289","36120"
"21.10.2022 18:00 - 21.10.2022 19:00","36546","37010"
"21.10.2022 19:00 - 21.10.2022 20:00","38191","37752"
"21.10.2022 20:00 - 21.10.2022 21:00","36038","35425"
"21.10.2022 21:00 - 21.10.2022 22:00","33369","32696"
"21.10.2022 22:00 - 21.10.2022 23:00","30591","29950"
"21.10.2022 23:00 - 22.10.2022 00:00","28255","27542"
"22.10.2022 00:00 - 22.10.2022 01:00","25868","25542"
"22.10.2022 01:00 - 22.10.2022 02:00","24375","24243"
"22.10.2022 02:00 - 22.10.2022 03:00","23432","23214"
"22.10.2022 03:00 - 22.10.2022 04:00","23040","22826"
"22.10.2022 04:00 - 22.10.2022 05:00","23002","22651"
"22.10.2022 05:00 - 22.10.2022 06:00","23366","22983"
"22.10.2022 06:00 - 22.10.2022 07:00","25018","24971"
"22.10.2022 07:00 - 22.10.2022 08:00","27726","27259"
"22.10.2022 08:00 - 22.10.2022 09:00","29551","29086"
"22.10.2022 09:00 - 22.10.2022 10:00","31036","30642"
"22.10.2022 10:00 - 22.10.2022 11:00","30718","30633"
"22.10.2022 11:00 - 22.10.2022 12:00","29657","29650"
"22.10.2022 12:00 - 22.10.2022 13:00","28216","28790"
"22.10.2022 13:00 - 22.10.2022 14:00","27163","27673"
"22.10.2022 14:00 - 22.10.2022 15:00","26420","26934"
"22.10.2022 15:00 - 22.10.2022 16:00","26520","26628"
"22.10.2022 16:00 - 22.10.2022 17:00","26996","26483"
"22.10.2022 17:00 - 22.10.2022 18:00","28317","27342"
"22.10.2022 18:00 - 22.10.2022 19:00","29966","30216"
"22.10.2022 19:00 - 22.10.2022 20:00","32176","31758"
"22.10.2022 20:00 - 22.10.2022 21:00","30821","29919"
"22.10.2022 21:00 - 22.10.2022 22:00","28545","27792"
"22.10.2022 22:00 - 22.10.2022 23:00","25812","25934"
"22.10.2022 23:00 - 23.10.2022 00:00","25051","24099"
"23.10.2022 00:00 - 23.10.2022 01:00","22808","22498"
"23.10.2022 01:00 - 23.10.2022 02:00","21545","21190"
"23.10.2022 02:00 - 23.10.2022 03:00","20719","20394"
"23.10.2022 03:00 - 23.10.2022 04:00","20328","20075"
"23.10.2022 04:00 - 23.10.2022 05:00","19763","19883"
"23.10.2022 05:00 - 23.10.2022 06:00","20090","20283"
"23.10.2022 06:00 - 23.10.2022 07:00","20707","21162"
"23.10.2022 07:00 - 23.10.2022 08:00","21819","22020"
"23.10.2022 08:00 - 23.10.2022 09:00","22952","23212"
"23.10.2022 09:00 - 23.10.2022 10:00","24745","24961"
"23.10.2022 10:00 - 23.10.2022 11:00","25620","25293"
"23.10.2022 11:00 - 23.10.2022 12:00","25652","25554"
"23.10.2022 12:00 - 23.10.2022 13:00","25496","25615"
"23.10.2022 13:00 - 23.10.2022 14:00","24424","24782"
"23.10.2022 14:00 - 23.10.2022 15:00","23815","24088"
"23.10.2022 15:00 - 23.10.2022 16:00","23562","23817"
"23.10.2022 16:00 - 23.10.2022 17:00","23731","24293"
"23.10.2022 17:00 - 23.10.2022 18:00","24982","25360"
"23.10.2022 18:00 - 23.10.2022 19:00","27055","28069"
"23.10.2022 19:00 - 23.10.2022 20:00","29451","30017"
"23.10.2022 20:00 - 23.10.2022 21:00","28404","28554"
"23.10.2022 21:00 - 23.10.2022 22:00","26904","26764"
"23.10.2022 22:00 - 23.10.2022 23:00","25104","24992"
"23.10.2022 23:00 - 24.10.2022 00:00","23132","22981"
"24.10.2022 00:00 - 24.10.2022 01:00","21452","21217"
"24.10.2022 01:00 - 24.10.2022 02:00","20449","20144"
"24.10.2022 02:00 - 24.10.2022 03:00","19995","19800"
"24.10.2022 03:00 - 24.10.2022 04:00","20020","19616"
"24.10.2022 04:00 - 24.10.2022 05:00","20372","20194"
"24.10.2022 05:00 - 24.10.2022 06:00","22371","22088"
"24.10.2022 06:00 - 24.10.2022 07:00","27722","27275"
"24.10.2022 07:00 - 24.10.2022 08:00","33037","32555"
"24.10.2022 08:00 - 24.10.2022 09:00","35962","35924"
"24.10.2022 09:00 - 24.10.2022 10:00","36540","37060"
"24.10.2022 10:00 - 24.10.2022 11:00","36370","37350"
"24.10.2022 11:00 - 24.10.2022 12:00","36090","37277"
"24.10.2022 12:00 - 24.10.2022 13:00","34766","35412"
"24.10.2022 13:00 - 24.10.2022 14:00","35372","35057"
"24.10.2022 14:00 - 24.10.2022 15:00","36043","35923"
"24.10.2022 15:00 - 24.10.2022 16:00","36109","35818"
"24.10.2022 16:00 - 24.10.2022 17:00","36766","36070"
"24.10.2022 17:00 - 24.10.2022 18:00","36702","35351"
"24.10.2022 18:00 - 24.10.2022 19:00","37150","36617"
"24.10.2022 19:00 - 24.10.2022 20:00","37697","37427"
"24.10.2022 20:00 - 24.10.2022 21:00","35497","35268"
"24.10.2022 21:00 - 24.10.2022 22:00","33030","32488"
"24.10.2022 22:00 - 24.10.2022 23:00","29935","29691"
"24.10.2022 23:00 - 25.10.2022 00:00","27271","27314"
"25.10.2022 00:00 - 25.10.2022 01:00","24987","25379"
"25.10.2022 01:00 - 25.10.2022 02:00","23686","24177"
"25.10.2022 02:00 - 25.10.2022 03:00","23007","23498"
"25.10.2022 03:00 - 25.10.2022 04:00","22726","23348"
"25.10.2022 04:00 - 25.10.2022 05:00","23122","23486"
"25.10.2022 05:00 - 25.10.2022 06:00","24470","25000"
"25.10.2022 06:00 - 25.10.2022 07:00","29087","29591"
"25.10.2022 07:00 - 25.10.2022 08:00","34315","34487"
"25.10.2022 08:00 - 25.10.2022 09:00","37673","37655"
"25.10.2022 09:00 - 25.10.2022 10:00","38261","38416"
"25.10.2022 10:00 - 25.10.2022 11:00","38058","37739"
"25.10.2022 11:00 - 25.10.2022 12:00","37841","37656"
"25.10.2022 12:00 - 25.10.2022 13:00","35400","35213"
"25.10.2022 13:00 - 25.10.2022 14:00","34873","34414"
"25.10.2022 14:00 - 25.10.2022 15:00","35810","35812"
"25.10.2022 15:00 - 25.10.2022 16:00","36223","36457"
"25.10.2022 16:00 - 25.10.2022 17:00","36335","36414"
"25.10.2022 17:00 - 25.10.2022 18:00","36154","36183"
"25.10.2022 18:00 - 25.10.2022 19:00","37027","37427"
"25.10.2022 19:00 - 25.10.2022 20:00","38008","38330"
"25.10.2022 20:00 - 25.10.2022 21:00","36006","36175"
"25.10.2022 21:00 - 25.10.2022 22:00","33394","33433"
"25.10.2022 22:00 - 25.10.2022 23:00","30270","30401"
"25.10.2022 23:00 - 26.10.2022 00:00","27427","27904"
"26.10.2022 00:00 - 26.10.2022 01:00","25409","25578"
"26.10.2022 01:00 - 26.10.2022 02:00","24117","24239"
"26.10.2022 02:00 - 26.10.2022 03:00","23513","23520"
"26.10.2022 03:00 - 26.10.2022 04:00","23280","23379"
"26.10.2022 04:00 - 26.10.2022 05:00","23942","23670"
"26.10.2022 05:00 - 26.10.2022 06:00","25312","25121"
"26.10.2022 06:00 - 26.10.2022 07:00","29628","29606"
"26.10.2022 07:00 - 26.10.2022 08:00","34474","34618"
"26.10.2022 08:00 - 26.10.2022 09:00","37474","37452"
"26.10.2022 09:00 - 26.10.2022 10:00","38328","38203"
"26.10.2022 10:00 - 26.10.2022 11:00","37568","37460"
"26.10.2022 11:00 - 26.10.2022 12:00","37523","36690"
"26.10.2022 12:00 - 26.10.2022 13:00","35381","34548"
"26.10.2022 13:00 - 26.10.2022 14:00","34162","34510"
"26.10.2022 14:00 - 26.10.2022 15:00","35408","35510"
"26.10.2022 15:00 - 26.10.2022 16:00","36311","36158"
"26.10.2022 16:00 - 26.10.2022 17:00","36333","36656"
"26.10.2022 17:00 - 26.10.2022 18:00","36640","36295"
"26.10.2022 18:00 - 26.10.2022 19:00","37481","37843"
"26.10.2022 19:00 - 26.10.2022 20:00","38847","38501"
"26.10.2022 20:00 - 26.10.2022 21:00","36708","36532"
"26.10.2022 21:00 - 26.10.2022 22:00","33893","33742"
"26.10.2022 22:00 - 26.10.2022 23:00","30835","30676"
"26.10.2022 23:00 - 27.10.2022 00:00","28503","28169"
"27.10.2022 00:00 - 27.10.2022 01:00","25801","25764"
"27.10.2022 01:00 - 27.10.2022 02:00","24439","24440"
"27.10.2022 02:00 - 27.10.2022 03:00","23835","23700"
"27.10.2022 03:00 - 27.10.2022 04:00","23619","23482"
"27.10.2022 04:00 - 27.10.2022 05:00","23963","23707"
"27.10.2022 05:00 - 27.10.2022 06:00","25265","25134"
"27.10.2022 06:00 - 27.10.2022 07:00","29595","29534"
"27.10.2022 07:00 - 27.10.2022 08:00","34639","34229"
"27.10.2022 08:00 - 27.10.2022 09:00","37331","36676"
"27.10.2022 09:00 - 27.10.2022 10:00","38272","37287"
"27.10.2022 10:00 - 27.10.2022 11:00","37580","36514"
"27.10.2022 11:00 - 27.10.2022 12:00","36734","35722"
"27.10.2022 12:00 - 27.10.2022 13:00","34816","33887"
"27.10.2022 13:00 - 27.10.2022 14:00","34568","33993"
"27.10.2022 14:00 - 27.10.2022 15:00","35544","35078"
"27.10.2022 15:00 - 27.10.2022 16:00","36271","35865"
"27.10.2022 16:00 - 27.10.2022 17:00","36681","36220"
"27.10.2022 17:00 - 27.10.2022 18:00","36794","35809"
"27.10.2022 18:00 - 27.10.2022 19:00","37552","37285"
"27.10.2022 19:00 - 27.10.2022 20:00","38699","38152"
"27.10.2022 20:00 - 27.10.2022 21:00","36602","36012"
"27.10.2022 21:00 - 27.10.2022 22:00","33833","33255"
"27.10.2022 22:00 - 27.10.2022 23:00","30911","30153"
"27.10.2022 23:00 - 28.10.2022 00:00","28254","27806"
"28.10.2022 00:00 - 28.10.2022 01:00","26141","25657"
"28.10.2022 01:00 - 28.10.2022 02:00","24701","24155"
"28.10.2022 02:00 - 28.10.2022 03:00","23762","23539"
"28.10.2022 03:00 - 28.10.2022 04:00","23429","23301"
"28.10.2022 04:00 - 28.10.2022 05:00","23616","23595"
"28.10.2022 05:00 - 28.10.2022 06:00","24938","24970"
"28.10.2022 06:00 - 28.10.2022 07:00","28876","29425"
"28.10.2022 07:00 - 28.10.2022 08:00","33572","33941"
"28.10.2022 08:00 - 28.10.2022 09:00","36138","36726"
"28.10.2022 09:00 - 28.10.2022 10:00","37259","37215"
"28.10.2022 10:00 - 28.10.2022 11:00","36937","36981"
"28.10.2022 11:00 - 28.10.2022 12:00","36140","36180"
"28.10.2022 12:00 - 28.10.2022 13:00","34080","34343"
"28.10.2022 13:00 - 28.10.2022 14:00","33726","34083"
"28.10.2022 14:00 - 28.10.2022 15:00","34422","34942"
"28.10.2022 15:00 - 28.10.2022 16:00","34982","35340"
"28.10.2022 16:00 - 28.10.2022 17:00","35366","35606"
"28.10.2022 17:00 - 28.10.2022 18:00","35144","35037"
"28.10.2022 18:00 - 28.10.2022 19:00","36321","36637"
"28.10.2022 19:00 - 28.10.2022 20:00","37518","37229"
"28.10.2022 20:00 - 28.10.2022 21:00","35871","35009"
"28.10.2022 21:00 - 28.10.2022 22:00","33020","32316"
"28.10.2022 22:00 - 28.10.2022 23:00","30309","29377"
"28.10.2022 23:00 - 29.10.2022 00:00","27580","27020"
"29.10.2022 00:00 - 29.10.2022 01:00","25433","24939"
"29.10.2022 01:00 - 29.10.2022 02:00","24171","23714"
"29.10.2022 02:00 - 29.10.2022 03:00","23128","22806"
"29.10.2022 03:00 - 29.10.2022 04:00","22763","22446"
"29.10.2022 04:00 - 29.10.2022 05:00","22573","22310"
"29.10.2022 05:00 - 29.10.2022 06:00","22897","22543"
"29.10.2022 06:00 - 29.10.2022 07:00","24890","24484"
"29.10.2022 07:00 - 29.10.2022 08:00","27175","26760"
"29.10.2022 08:00 - 29.10.2022 09:00","28990","28304"
"29.10.2022 09:00 - 29.10.2022 10:00","30390","29455"
"29.10.2022 10:00 - 29.10.2022 11:00","30458","28848"
"29.10.2022 11:00 - 29.10.2022 12:00","28455","27778"
"29.10.2022 12:00 - 29.10.2022 13:00","26958","26673"
"29.10.2022 13:00 - 29.10.2022 14:00","25719","25864"
"29.10.2022 14:00 - 29.10.2022 15:00","25242","25619"
"29.10.2022 15:00 - 29.10.2022 16:00","25514","25872"
"29.10.2022 16:00 - 29.10.2022 17:00","25990","26465"
"29.10.2022 17:00 - 29.10.2022 18:00","27166","27380"
"29.10.2022 18:00 - 29.10.2022 19:00","30154","30438"
"29.10.2022 19:00 - 29.10.2022 20:00","31657","31584"
"29.10.2022 20:00 - 29.10.2022 21:00","29842","29525"
"29.10.2022 21:00 - 29.10.2022 22:00","27740","27177"
"29.10.2022 22:00 - 29.10.2022 23:00","25855","25271"
"29.10.2022 23:00 - 30.10.2022 00:00","24039","23592"
"30.10.2022 00:00 - 30.10.2022 01:00","21942","21872"
"30.10.2022 01:00 - 30.10.2022 02:00","20772","20471"
"30.10.2022 02:00 - 30.10.2022 03:00","19955","19675"
"30.10.2022 02:00 - 30.10.2022 03:00","19955","19172"
"30.10.2022 03:00 - 30.10.2022 04:00","19249","19148"
"30.10.2022 04:00 - 30.10.2022 05:00","19223","19334"
"30.10.2022 05:00 - 30.10.2022 06:00","19598","19805"
"30.10.2022 06:00 - 30.10.2022 07:00","20096","20546"
"30.10.2022 07:00 - 30.10.2022 08:00","20585","21402"
"30.10.2022 08:00 - 30.10.2022 09:00","21998","22981"
"30.10.2022 09:00 - 30.10.2022 10:00","23303","23919"
"30.10.2022 10:00 - 30.10.2022 11:00","23512","23982"
"30.10.2022 11:00 - 30.10.2022 12:00","23683","24285"
"30.10.2022 12:00 - 30.10.2022 13:00","23858","24526"
"30.10.2022 13:00 - 30.10.2022 14:00","23021","24028"
"30.10.2022 14:00 - 30.10.2022 15:00","23156","24212"
"30.10.2022 15:00 - 30.10.2022 16:00","23557","24472"
"30.10.2022 16:00 - 30.10.2022 17:00","24254","24721"
"30.10.2022 17:00 - 30.10.2022 18:00","26641","26952"
"30.10.2022 18:00 - 30.10.2022 19:00","28266","28235"
"30.10.2022 19:00 - 30.10.2022 20:00","28948","28345"
"30.10.2022 20:00 - 30.10.2022 21:00","27903","27147"
"30.10.2022 21:00 - 30.10.2022 22:00","26446","25692"
"30.10.2022 22:00 - 30.10.2022 23:00","24691","23596"
"30.10.2022 23:00 - 31.10.2022 00:00","22747","21777"
"31.10.2022 00:00 - 31.10.2022 01:00","19944","20295"
"31.10.2022 01:00 - 31.10.2022 02:00","19395","19274"
"31.10.2022 02:00 - 31.10.2022 03:00","18991","18794"
"31.10.2022 03:00 - 31.10.2022 04:00","19014","18635"
"31.10.2022 04:00 - 31.10.2022 05:00","19103","18781"
"31.10.2022 05:00 - 31.10.2022 06:00","20251","20130"
"31.10.2022 06:00 - 31.10.2022 07:00","23111","22709"
"31.10.2022 07:00 - 31.10.2022 08:00","26075","25101"
"31.10.2022 08:00 - 31.10.2022 09:00","28878","27832"
"31.10.2022 09:00 - 31.10.2022 10:00","30195","28637"
"31.10.2022 10:00 - 31.10.2022 11:00","30006","28137"
"31.10.2022 11:00 - 31.10.2022 12:00","29357","27713"
"31.10.2022 12:00 - 31.10.2022 13:00","28554","27453"
"31.10.2022 13:00 - 31.10.2022 14:00","28524","27381"
"31.10.2022 14:00 - 31.10.2022 15:00","29227","27873"
"31.10.2022 15:00 - 31.10.2022 16:00","30321","28374"
"31.10.2022 16:00 - 31.10.2022 17:00","31476","28606"
"31.10.2022 17:00 - 31.10.2022 18:00","34208","30945"
"31.10.2022 18:00 - 31.10.2022 19:00","34407","31585"
"31.10.2022 19:00 - 31.10.2022 20:00","33012","31218"
"31.10.2022 20:00 - 31.10.2022 21:00","30672","29258"
"31.10.2022 21:00 - 31.10.2022 22:00","27935","26916"
"31.10.2022 22:00 - 31.10.2022 23:00","25473","24687"
"31.10.2022 23:00 - 01.11.2022 00:00","23401","22660"
"01.11.2022 00:00 - 01.11.2022 01:00","20944","21054"
"01.11.2022 01:00 - 01.11.2022 02:00","19908","20158"
"01.11.2022 02:00 - 01.11.2022 03:00","19133","19540"
"01.11.2022 03:00 - 01.11.2022 04:00","18997","19227"
"01.11.2022 04:00 - 01.11.2022 05:00","19184","19156"
"01.11.2022 05:00 - 01.11.2022 06:00","19329","19559"
"01.11.2022 06:00 - 01.11.2022 07:00","19729","20036"
"01.11.2022 07:00 - 01.11.2022 08:00","20230","20567"
"01.11.2022 08:00 - 01.11.2022 09:00","21350","22603"
"01.11.2022 09:00 - 01.11.2022 10:00","22484","23829"
"01.11.2022 10:00 - 01.11.2022 11:00","22958","24164"
"01.11.2022 11:00 - 01.11.2022 12:00","23036","24347"
"01.11.2022 12:00 - 01.11.2022 13:00","23027","24612"
"01.11.2022 13:00 - 01.11.2022 14:00","22478","23503"
